GISPlotID,Rest/Ref,Phase 1 Age (yr),Phase 2 Age (yr),Date,Site Name,Area,Plot,PHAU,SPAL,SPPA,DISP,SOSE,IVFR,SADE,JUGE,ALGAE,UNKNOWN,SEAWEED,Total Cover,Unveg,WRK,GRB,Lit,Mussel_Count,CrabBur,Snail_COUNT ,SPAL Stem Count,Flower Spp,SPAL_H1 (cm),SPAL_H2 (cm),SPAL_H3 (cm),SPAL_H4 (cm),SPAL_H5 (cm),Avg_SPAL_H,SPAL_D1(mm),SPAL_D2(mm),SPAL_D3(mm),SPAL_D4(mm),SPAL_D5 (mm),Avg_SPAL_D,SPPA Stem Count,DISP Stem Count,JUGE Stem Count,PHAU Stem Count,Elevation ft,GIS Plot ID,check,ForSummary,Notes
AlleyLS_1,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T1P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.117,,,,
AlleyLS_2,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T1P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.986,,,,
AlleyLS_3,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T1P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,8.75,8.75,0,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.875,,,,
AlleyLS_4,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T1P4,0,0,0,0,0,0,0,0,8.75,0,0,8.75,37.5,37.5,0,0,77,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.334,,,,
AlleyLS_5,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T1P5,0,0,0,0,0,0,0,0,0,0,0,0,8.75,87.5,2.5,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.399,,,,
AlleyLS_6,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T1P6,0,8.75,0,0,0,0,0,0,0,0,0,8.75,87.5,0,0,0,80,0,1,10,0,13,10,4,3,96,25.2,0.45,0.32,0.27,0.16,0.59,0.358,0,0,0,0,1.6,,,,
AlleyLS_7,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T2P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.998,,,,
AlleyLS_8,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T2P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.894,,,,
AlleyLS_9,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T2P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.842,,,,
AlleyLS_10,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T2P4,0,37.5,0,0,0,0,0,0,0,0,0,37.5,37.5,0,0,0,1200,0,0,67,SPAL,116,109,168,156,6,111,0.67,0.65,0.74,0.67,0.83,0.712,0,0,0,0,1.129,,,,
AlleyLS_11,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T2P5,0,62.5,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,1200,0,0,77,0,141,130,101,71,72,103,0.87,0.5,0.45,0.46,0.48,0.552,0,0,0,0,1.931,,,,
AlleyLS_12,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T2P6,0,37.5,0,0,0,0,0,0,0,0,0,37.5,37.5,0,0,0,76,0,0,62,SPAL,117,131,120,55,129,110.4,0.49,0.67,0.62,0.43,0.54,0.55,0,0,0,0,2.474,,,,
AlleyLS_13,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T3P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.948,,,,
AlleyLS_14,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T3P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,2.5,2.5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.084,,,,
AlleyLS_15,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T3P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,2.5,2.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.581,,,,
AlleyLS_16,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T3P4,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,,,,
AlleyLS_17,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T3P5,0,37.5,0,0,0,0,0,0,0,0,0,37.5,62.5,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556,,,,
AlleyLS_18,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T3P6,0,37.5,0,0,0,0,0,0,0,0,0,37.5,37.5,0,0,0,63,0,0,3,0,5,71,161,,,79,0.89,0.54,0.61,,,0.68,0,0,0,0,2.899,,,,
AlleyLS_19,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T4P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.048,,,,
AlleyLS_20,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T4P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.632,,,,
AlleyLS_21,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T4P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.659,,,,
AlleyLS_22,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T4P4,0,8.75,0,0,0,0,0,0,2.5,0,0,11.25,87.5,2.5,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,,,,
AlleyLS_23,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T4P5,0,18.75,0,0,0,0,0,0,0,0,0,18.75,62.5,0,0,0,360,0,0,58,SPAL,142,76,14,90,53,75,0.63,0.54,0.61,0.64,0.37,0.558,0,0,0,0,1.296,,,,
AlleyLS_24,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T4P6,0,62.5,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,11,0,0,65,SPAL,25,60,46,12,47,38,0.24,0.51,0.54,0.61,0.47,0.474,0,0,0,0,3.462,,,,
AlleyLS_25,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T5P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.924,,,,
AlleyLS_26,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T5P2,0,8.75,0,0,0,0,0,0,0,0,0,8.75,87.5,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.525,,,,
