Rest/Ref,Age (yr),Date,Site Name,Area,HM or LM,Plot,PHAU,SPAL,SPPA,DISP,SOSE,IVFR,SADE,JUGE,ATPA,LICA,BAHA,SUMA,SPMA,SYSU,ALGAE,SYTE,CEOR,Total Cover,Unveg,WRK,GRB,Lit,CrabBur,Snail_COUNT ,Mussel_Count,SPAL Stem Count,Flower Cover,SPPA Stem Count,Flower Cover,DISP Stem Count,Flower Cover,JUGE Stem Count,Flower Cover,PHAU Stem Count,Flower Cover,LICA Stem Count,Flower Cover,SPAL_H1 (cm),SPAL_H2 (cm),SPAL_H3 (cm),SPAL_H4 (cm),SPAL_H5 (cm),SPAL_H_Avg,SPAL_D1(cm),SPAL_D2(cm),SPAL_D3(cm),SPAL_D4(cm),SPAL_D5 (cm),SPAL_D_Avg,Elevation ft,GraphName
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,1,0,37.5,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,46.25,37.5,0.5,2.5,0,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,66,67,53,27,5,43.6,5,4.6,3.4,4.4,3,4.08,2.27,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,2,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,18.75,0.5,2.5,0,5,0,40,51,0,0,0,0,0,0,0,0,0,0,0,71,32,72.5,41,57.5,54.8,3.8,5.6,5.7,3.5,4.5,4.62,2.198,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,3,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,0,28,41,16.5,18,89.5,38.6,3,6.3,4.2,3.7,5.1,4.46,2.322,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,4,0,37.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,40,37.5,0,18.75,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,25,11,40.05,16,10.5,20.51,5,4.1,3,3.9,2,3.6,2.408,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,5,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,18.75,0,0,0,0,2,5,77,0,0,0,0,0,0,0,0,0,0,0,57,25,41,30,25,35.6,1.6,3,3.4,1.8,2.5,2.46,2.251,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,6,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,37.5,0,2.5,0,0,0,30,57,0,0,0,0,0,0,0,0,0,0,0,60,85.5,81.5,71,28.5,65.3,6.5,8,5.6,4,4,5.62,2.127,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,7,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,37.5,2.5,18.75,0,5,0,20,24,0,0,0,0,0,0,0,0,0,0,0,74.5,28.5,24,20.5,39,37.3,7.2,5,4.3,4,5.7,5.24,2.369,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,8,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0,0,0,0,62,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.252,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,9,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,18.75,0,0,0,70,34,0,0,0,0,0,0,0,0,0,0,0,55.5,49,40,52,43,47.9,5.3,4.5,3.5,8,4.6,5.18,1.864,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,10,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,37.5,0,3,0,20,48,0,0,0,0,0,0,0,0,0,0,0,19,28,20.5,68,13,29.7,5.7,4,4.6,7.2,2.8,4.86,2.329,Restored HM
