Rest/Ref,Age (yr),Date,Site Name,AreaName,Area,Plot,PHAU,SPAL,SPPA,DISP,SOSE,IVFR,SADE,JUGE,ATPA,LICA,BAHA,SUMA,SPMA,SYSU,SYTE,ALGAE,CEOR,Total Cover,Unveg,WRK,GRB,Lit,Mussel_Count,CrabBur,Snail_COUNT ,SPAL Stem Count,Flower Cover,SPPA Stem Count,Flower Cover,DISP Stem Count,Flower Cover,JUGE Stem Count,Flower Cover,PHAU Stem Count,Flower Cover,LICA Stem Count,Flower Cover,SPAL_H1 (cm),SPAL_H2 (cm),SPAL_H3 (cm),SPAL_H4 (cm),SPAL_H5 (cm),SPAL_H_Avg,SPAL_D1(cm),SPAL_D2(cm),SPAL_D3(cm),SPAL_D4(cm),SPAL_D5 (cm),SPAL_D_Avg,Elevation ft,GIS Plot ID,check
Restored,Pre,8/12/2019,Idlewild,,C,C01,0,87.5,2.5,0,0,0,0,0,0,0,0,,,,,0,0,90,18.75,0,0.5,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,32,44.5,60.7,67.4,40,48.92,0.61,0.63,0.67,0.69,0.51,0.622,2.159,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C02,0,87.5,0,8.75,0,0,0,0,0,0,0,,,,,0,0,96.25,2.5,18.75,0.5,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,58.5,24.3,15,32.2,35.9,33.18,0.84,0.81,0.54,0.6,0.8,0.718,2.352,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C03,0,87.5,0,0,0,0,0,0,0,0,0,,,,,0,0,87.5,8.75,0,0,0,7,4,0,52,0,0,0,0,0,0,0,0,0,0,0,70.3,35,40,40.9,27.6,42.76,0.8,0.66,0.6,0.71,0.72,0.698,2.022,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C04,0,87.5,0,0,0,0,0,0,0,0,0,,,,,0,0,87.5,8.75,0,0,0,9,35,2,69,0,0,0,0,0,0,0,0,0,0,0,22,18.5,32.8,15.5,30.5,23.86,0.38,0.34,0.38,0.52,0.53,0.43,1.961,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C05,0,87.5,0,0,0,0,0,0,0,0,0,,,,,0,0,87.5,8.75,0,0,2.5,2,11,1,63,0,0,0,0,0,0,0,0,0,0,0,64,41,36.5,45,24.6,42.22,0.86,0.71,0.65,0.8,0.8,0.764,2.404,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C06,0,8.75,62.5,18.75,0,0,0,0,0,0,0,,,,,0,0,90,0,0,0,0,0,0,0,0,0,3000,18.75,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.185,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C07,0,37.5,37.5,0,0,0,0.5,0,0,0,0,,,,,0,0,75.5,8.75,0,0,0,0,0,0,28,0,75,18.75,0,0,0,0,0,0,0,0,57,43.5,45.3,31.3,27.8,40.98,0.92,0.55,0.69,0.72,0.6,0.696,2.299,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C08,0,2.5,62.5,8.75,0,0,2.5,0,0,0,0,,,,,0,0,76.25,18.75,0,0,0,0,0,0,0,0,1500,37.5,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.591,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C09,0,62.5,0,2.5,0,0,2.5,0,0,0,0,,,,,0,0,67.5,8.75,0,0,0,1,0,1,65,0,0,0,0,0,0,0,0,0,0,0,13.2,19,12.1,15.5,9,13.76,0.54,0.7,0.46,0.4,0.24,0.468,2.444,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C10,0,62.5,0,0,0,0,0,0,0,0,0,,,,,0,0,62.5,18.75,0,0,0,1,6,1,68,0,0,0,0,0,0,0,0,0,0,0,57,39.5,32,32,38.5,39.8,0.62,0.55,0.75,0.73,0.55,0.64,1.944,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C11,0,2.5,62.5,8.75,0,0,2.5,0,0,0,0,,,,,0,0,76.25,8.75,0,0,0,0,0,0,0,0,150,37.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C12,0,37.5,8.75,8.75,0,0,0,0,0,0,0,,,,,0,0,55,2.5,18.75,0.5,0,0,0,0,43,0,0,2.5,0,0.5,0,0,0,0,0,0,27,16.2,23.5,21.3,11,19.8,0.4,0.61,0.77,0.34,0.88,0.6,2.266,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C13,0,62.5,0,18.75,0,0,8.75,0,0,0,0,,,,,0,0,90,2.5,0,0,0,2,0,2,43,0,0,0,0,0,0,0,0,0,0,0,22.4,6.8,7.7,24.8,15.5,15.44,0.36,0.24,0.29,0.47,0.39,0.35,2.141,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C14,0,37.5,0,0,0,0,0,0,0,0,0,,,,,0,0,37.5,62.5,0,0,0,120,0,0,42,0,0,0,0,0,0,0,0,0,0,0,24.8,53,33.6,30.4,24.7,33.3,0.4,0.8,0.5,0.74,0.65,0.618,1.324,0,EV
Restored,Pre,8/12/2019,Idlewild,,C,C15,0,37.5,8.75,8.75,0,0,0,0,0,0,0,,,,,0,0,55,37.5,0,0,0,4,5,0,57,0,0,2.5,0,0,0,0,0,0,0,0,56.9,34.5,25.2,40,31.8,37.68,0.69,0.62,0.48,0.82,0.63,0.648,2.029,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B01,0,62.5,0,0,0,0,0,0,0,0,0,,,,,0,0,62.5,18.75,0,0,0,2,0,5,48,0,0,0,0,0,0,0,0,0,0,0,16,24.3,19.5,19,26.6,21.08,0.55,0.76,0.54,0.71,0.71,0.654,2.324,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B02,0,87.5,0,2.5,0,0,0,0,0,0,0,,,,,0,0,90,8.75,2.5,0,0,4,0,1,75,0,0,0,0,0,0,0,0,0,0,0,18.5,21.8,17.1,21.7,29.7,21.76,0.6,0.53,0.35,0.65,0.4,0.506,2.575,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B03,0,0.5,37.5,37.5,0,0,0,0,0,0,0,,,,,0,0,75.5,0,0,0,0,0,0,0,0,0,150,2.5,150,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.908,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B04,0,62.5,2.5,2.5,0,0,0,0,0,0,0,,,,,0,0,67.5,8.75,8.75,0,0,57,0,1,67,0,0,0,0,0,0,0,0,0,0,0,17.9,40.7,24.7,26,34.3,28.72,0.7,0.8,0.56,0.56,0.47,0.618,2.45,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B05,0,62.5,2.5,0.5,0,0,0.5,0,0,0,0,,,,,0,0,66,18.75,2.5,0,0,70,3,3,57,0,0,0,0,0,0,0,0,0,0,0,53.4,42.2,31.1,29,33.6,37.86,0.65,0.61,0.81,0.55,0.35,0.594,2.572,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B06,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,87.5,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.273,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B07,0,87.5,0,0,0,0,0,0,0,0,0,,,,,0,0,87.5,8.75,0,0,0,33,3,3,71,0,0,0,0,0,0,0,0,0,0,0,64,43.2,55.4,46.9,64,54.7,0.8,0.6,0.64,0.68,0.75,0.694,2.155,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B08,0,87.5,0,0,0,0,0,0,0,0,0,,,,,0,0,87.5,0,0,0,0,5,0,8,247,0.5,0,0,0,0,0,0,0,0,0,0,22.2,27.8,19.3,17.7,31.5,23.7,0.29,0.28,0.31,0.26,0.37,0.302,2.43,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B09,0,0,0,0,0,0,0,0,0,0,0,,,,,0.5,0,0.5,87.5,0.5,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B10,0,87.5,0,0,0,0,0,0,0,0,0,,,,,0,0,87.5,8.75,2.5,0,0,36,3,5,81,0,0,0,0,0,0,0,0,0,0,0,19.6,21.7,29,22.4,39.2,26.38,0.48,0.39,0.52,0.5,0.66,0.51,2.383,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B11,0,62.5,0,0,0,0,0,0,0,0,0,,,,,0,0,62.5,18.75,8.75,2.5,0,102,5,5,37,0,0,0,0,0,0,0,0,0,0,0,68.9,42.8,45.8,57.4,50.7,53.12,0.84,0.62,0.51,0.78,0.8,0.71,2.12,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B12,0,62.5,0,0,0,0,0,0,0,0,0,,,,,0,0,62.5,18.75,0,0,0,36,0,23,103,0,0,0,0,0,0,0,0,0,0,0,57.2,25.6,23.9,33.6,18,31.66,0.51,0.45,0.5,0.76,0.39,0.522,2.159,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B13,0,18.75,0,0,0,0,0,0,0,0,0,,,,,0,0,18.75,67.5,0.5,0,0,94,0,0,46,0.5,0,0,0,0,0,0,0,0,0,0,68.2,65.8,57,35.4,66.5,58.58,0.72,0.61,0.71,0.52,0.74,0.66,2.06,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B14,0,37.5,0,0,0,0,0,0,0,18.75,0,,,,,0,0,56.25,37.5,0,0,0.5,12,18,1,10,0,0,0,0,0,0,0,0,0,0,18.75,8.2,23.6,19.8,15.9,14.3,16.36,0.4,0.62,0.61,0.47,0.66,0.552,2.326,0,EV
Restored,Pre,8/13/2019,Idlewild,,B,B15,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,87.5,0,0,0,115,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A01,0,37.5,0,0,0,0,0.5,0,0,0,0,,,,,0,0,38,62.5,0,0,0,17,0,0,24,0.5,0,0,0,0,0,0,0,0,0,0,43.7,33.8,40,28.7,93.6,47.96,0.78,0.47,0.52,0.5,0.8,0.614,2.597,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A02,0,37.5,0,8.75,0,0,0,0,0,0,0,,,,,0,0,46.25,62.5,2.5,2.5,0,44,9,0,19,0,0,0,0,2.5,0,0,0,0,0,0,49.3,52.5,60.3,28.5,27.9,43.7,0.42,0.5,0.71,0.69,0.61,0.586,2.411,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A03,0,67.5,0,0,0,0,0.5,0,0,0,0,,,,,0,0,68,37.5,0,0,0,41,6,160,31,0,0,0,0,0,0,0,0,0,0,0,67.7,21,41.2,45.5,28.9,40.86,0.81,0.7,0.79,0.72,0.54,0.712,1.865,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A04,0,87.5,0,0,0,0,0,0,0,0,0,,,,,0,0,87.5,8.75,0,0,0,44,8,19,44,0,0,0,0,0,0,0,0,0,0,0,41.8,40.4,97.4,39,21.9,48.1,0.51,0.72,0.57,0.6,0.33,0.546,1.868,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A05,0,37.5,37.5,0,0,0,8.75,0,0,0,0,,,,,0,0,83.75,0,0,0,0,13,0,2,9,0,150,0,0,0,0,0,0,0,0,0,49.5,59.6,58.7,64.9,20.8,50.7,1.09,1.31,0.99,1.04,0.82,1.05,2.066,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A06,0,62.5,0,0,0,0,0,0,0,0,0,,,,,0,0,62.5,18.75,0,0,0,33,8,7,23,0.5,0,0,0,0,0,0,0,0,0,0,87.4,49.5,54,22.5,33,49.28,1,1.04,0.79,0.56,0.84,0.846,2.092,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A07,0,18.75,62.5,0,0,0,0.5,0,0,0,0,,,,,0,0,81.75,8.75,0,0,0,0,0,0,0,0,150,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.497,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A08,0,62.5,0,0,0,0,0,0,0,0,0,,,,,0,0,62.5,37.5,0,0,0,6,6,0,40,0.5,0,0,0,0,0,0,0,0,0,0,34.4,26.5,17,23.4,11.5,22.56,0.72,0.64,0.54,0.63,0.33,0.572,2.035,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A09,0,37.5,0,0,0,0,0,0,0,0,0,,,,,0,0,37.5,62.5,0,0,0,3,4,21,11,0,0,0,0,0,0,0,0,0,0,0,52.5,45,50.5,63.4,64.9,55.26,1.1,1.1,0.86,0.87,0.97,0.98,2.073,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A10,0,62.5,0,0,0,0,0,0,0,0,0,,,,,0,0,62.5,37.5,0,0,0,111,0,0,24,0,0,0,0,0,0,0,0,0,0,0,66.2,68.8,77.6,96.9,59.9,73.88,0.73,0.68,1.4,0.95,1.04,0.96,2.22,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A11,0,62.5,0,18.75,0,0,0.5,0,0,0,0,,,,,0,0,81.75,18.75,0,0,0,2,0,2,64,0,0,0,0,2.5,0,0,0,0,0,0,14,9.9,20.9,18,18.4,16.24,0.34,0.64,0.5,0.71,0.69,0.576,2.108,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A12,0,62.5,0,18.75,0,0,0,0,0,0,0,,,,,0,0,81.25,8.75,2.5,0,2.5,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,23,14.3,12.9,22.9,22.8,19.18,0.55,0.5,0.25,0.62,0.68,0.52,2.293,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A13,0,37.5,0,0,0,0,0.5,0,0,0,0,,,,,0,0,38,62.5,0,0,0,23,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.243,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A14,0,87.5,0,0,0,0,0,0,0,0,0,,,,,0,0,87.5,8.75,2.5,0,0,3,0,1,85,0,0,0,0,0,0,0,0,0,0,0,28.7,21.8,19.6,43.5,15,25.72,0.47,0.39,0.55,0.86,0.44,0.542,2.026,0,EV
Restored,Pre,8/14/2019,Idlewild,,A,A15,0,62.5,0,0,0,0,2.5,0,0,0,0,,,,,0,0,65,18.75,2.5,0,0,7,0,0,36,0,0,0,0,0,0,0,0,0,0,0,30.7,29.2,19,46.4,41.4,33.34,0.47,0.54,0.52,0.83,0.9,0.652,2.161,0,EV
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,1,0,37.5,0,0,0,0,8.75,0,0,0,0,,,,0,0,,46.25,37.5,0.5,2.5,0,10,0,0,27,0,0,0,0,0,0,0,0,0,0,0,66,67,53,27,5,43.6,5,4.6,3.4,4.4,3,4.08,2.27,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,2,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,18.75,0.5,2.5,0,40,5,0,51,0,0,0,0,0,0,0,0,0,0,0,71,32,72.5,41,57.5,54.8,3.8,5.6,5.7,3.5,4.5,4.62,2.198,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,3,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,37.5,0,0,0,5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,28,41,16.5,18,89.5,38.6,3,6.3,4.2,3.7,5.1,4.46,2.322,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,4,0,37.5,0,0,0,0,2.5,0,0,0,0,,,,0,0,0,40,37.5,0,18.75,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,25,11,40.05,16,10.5,20.51,5,4.1,3,3.9,2,3.6,2.408,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,5,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,18.75,0,0,0,5,0,2,77,0,0,0,0,0,0,0,0,0,0,0,57,25,41,30,25,35.6,1.6,3,3.4,1.8,2.5,2.46,2.251,,
