TrackingNum,SampleDate,ProjectName,Marsh,Sample&SET,pH,%Organic Matter,Soil Type,P (lbs/acre),K (lbs/acre),Mg (lbs/acre),Ca (lbs/acre),Zn (ppm),Cu (ppm),Mn (ppm),B (ppm),Fe (ppm),S (ppm),Pb (ppm),Salts (mmho/cm),Total N,BD g/cm^3,%clay,%silt,%sand,NH4-N mg/kg Soil,NO3-N mg/kg soil,Elevation (NAVD88 ft),,pH diff,LOI diff
1149,6/4/2014,SSIM,Udalls Cove,UC1-SET3,5.3,30.48%,Clay loam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.163359878,37.48%,33.71%,28.82%,22.52,1.26,N/A,Udalls,-1.26,10.11%
1150,6/4/2014,SSIM,Udalls Cove,UC2-SET1,5.61,33.89%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.120337643,49.92%,25.33%,24.75%,10.09,3.04,N/A,Pelham Cove,-0.04,3.03%
1151,6/4/2014,SSIM,Udalls Cove,UC3-SET2,5.88,20.79%,Loam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.184934923,26.57%,34.01%,39.42%,6.06,3.93,N/A,Hutchinson River,-0.34,-3.99%
1152,6/4/2014,SSIM,Pelham Bay Cove,PB1-SET3,4.45,35.34%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.161175832,50.28%,16.27%,33.45%,1.60,0.89,N/A,Saw Mill Creek,0.08,11.89%
1153,6/4/2014,SSIM,Pelham Bay Cove,PB2-SET2,5.26,26.90%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189587973,43.83%,28.11%,28.06%,3.04,2.78,N/A,Spring Creek,-1.20,6.05%
1154,6/4/2014,SSIM,Pelham Bay Cove,PB3-SET1,5.24,27.98%,Clay loam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.171086719,39.53%,25.35%,35.12%,6.60,1.03,N/A,Idlewild,-0.05,9.29%
1155,6/4/2014,SSIM,Hutchinson River,HR1-SET3,5.37,30.04%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.198858219,50.76%,18.76%,30.48%,19.36,2.66,N/A,,,
1156,6/4/2014,SSIM,Hutchinson River,HR2-SET2,5.14,35.62%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.170874501,51.26%,16.59%,32.15%,12.73,1.51,N/A,,,
1157,6/4/2014,SSIM,Hutchinson River,HR3-SET1,4.78,43.63%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.12025927,50.09%,18.51%,31.40%,26.05,2.14,N/A,,,
1158,6/4/2014,SSIM,Saw Mill Creek,SET1-SM,4.56,32.01%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.162679722,48.76%,10.15%,41.09%,,,N/A,,,
1159,6/4/2014,SSIM,Saw Mill Creek,SET2-SM,5.65,31.33%,Clay loam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.241198833,37.76%,24.21%,38.03%,2.75,2.67,N/A,,,
1160,6/4/2014,SSIM,Saw Mill Creek,SET3-SM,5.5,28.69%,Clay loam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.358395324,33.26%,30.15%,36.59%,3.08,0.61,N/A,,,
1161,6/4/2014,SSIM,Spring Creek,SET1-SC,4.35,54.07%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.179773487,50.14%,6.73%,43.13%,40.91,1.24,N/A,,,
1162,6/4/2014,SSIM,Spring Creek,SET2-SC,4.31,39.60%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.063719914,58.18%,18.67%,23.15%,10.19,0.67,N/A,,,
1163,6/4/2014,SSIM,Spring Creek,SET3-SC,4.77,24.68%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.20032088,47.99%,30.78%,21.23%,10.44,0.30,N/A,,,
1164,6/4/2014,SSIM,Idlewild,SET1-id,5.15,46.07%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.127393642,57.91%,15.66%,26.43%,25.29,3.53,N/A,,,
1165,6/4/2014,SSIM,Idlewild,SET2-id,5.37,34.59%,Sandy Clay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.044702956,37.83%,12.14%,50.04%,17.14,6.02,N/A,,,
1166,6/4/2014,SSIM,Idlewild,SET3-id,5.18,40.48%,Clay ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.124344724,55.50%,6.28%,38.21%,13.74,1.39,N/A,,,
24871,4/24/2025,SSIM,Saw Mill Creek,S01 - SET1,5.34,44.60%,Organic Soil-fibric,213,567,1529,1274,6.02,21.32,6.46,6.68,204.55,587.44,286.3,11.3,0.42%,N/A,N/A,N/A,N/A,N/A,N/A,2.696,,,
24872,4/24/2025,SSIM,Saw Mill Creek,S02 - SET2,5.36,45.50%, Organic Soil-fibric,114,592,1542,1116,5.83,13.2,5.72,7.39,214.27,486.69,205.7,14.22,0.30%,N/A,N/A,N/A,N/A,N/A,N/A,2.624,,,
24873,4/24/2025,SSIM,Saw Mill Creek,S03 - SET3,5.25,37.60%,Organic Soil-fibric,316,699,1707,1192,4.17,24.21,9.76,6.7,245.4,603.58,366,14.3,0.20%,N/A,N/A,N/A,N/A,N/A,N/A,2.476,,,
24905,4/22/2025,SSIM,Hutchinson River,S01 - SET 1,4.81,31.20%,organic Soil-fibric,79,882,1800,1029,11.63,11.15,7.32,7.26,201.63,847.34,205.67,14.4,1.02%,N/A,N/A,N/A,N/A,N/A,N/A,4.274,,,
