Rest/Ref,Age (yr),Date,Site Name,Area,Summary Name,Plot,PHAU,SPAL,SPPA,DISP,SOSE,IVFR,SADE,JUGE,ATPA,BAHA,CAEX,SUMA,SPMA,SPCA,DACA,ARVU,AMAR,ALPE,RHTY,RHCO,LICA,LOJA,ROMU,ELUM,SCSC,PAVI,POCU,DICL,TORA,Carex sp,Poaceae sp,SYTE,SYSU,Polygonum Sp,ECCR,OEBI,RUHI,Digitaria sp,Poaceae 2,CHAL,APCA,SONU,CHFA,SORU,ANVI,SOJU,PIFA,PAQU,Cyperus sp,ACNE,ERSP,Setaria sp.,PODE,DITE,PIPU,RHGL,MEAL,MELU,PIRI,PSOB,POPE,RUOC,EUHY,EUGR,JUGR,CYES,SYER,STHE,CYMI,SODU,XAST,LECA,HIMO,BEPO,CASE,UNKNOWN,ALGAE,CEOR,ERCA,SYNO,CASI,TRRE (clover),MOFI,Quercus sp.,Plantago sp.,CEOC,ROPS,MOPE,CYDI,RUPE,SPAL2,LYSA,BIFR,ASIN,POHY,LUPU,CIIN,JUTE,ECHI,AGPU,AROL,TYAN,SCPU,SYSP,TotalCover,Unveg,WRK,GRB,Lit,Mussel Cover,Mussel_Count,CrabBur,SNAIL_COUNT ,Mussel_L1(cm),Mussel_L2(cm),Mussel_L3(cm),Mussel_L4(cm),Mussel_L5(cm),Avg Mussel L (cm),SPAL Stem Count,Flower Count,SPAL_H1 (cm),SPAL_H2 (cm),SPAL_H3 (cm),SPAL_H4 (cm),SPAL_H5 (cm),Avg_SPAL_H (cm),SPAL_D1(mm),SPAL_D2(mm),SPAL_D3(mm),SPAL_D4(mm),SPAL_D5 (mm),Avg_SPAL_D (mm),SPPA Stem Count,Flower Count,SPPA_H1,SPPA_H2,SPPA_H3,SPPA_H4,SPPA_H5,AVG_SPPA_H,SPPA_D1,SPPA_D2,SPPA_D3,SPPA_D4,SPPA_D5,AVG_SPPA_D,DISP Stem Count,Flower Count,DISP_H1(cm),DISP_H2(cm),DISP_H3(cm),DISP_H4(cm),DISP_H5(cm),AVG_DISP_H,DISP_D1(cm),DISP_D2(cm),DISP_D3(cm),DISP_D4(cm),DISP_D5(cm),AVG_DISP_D,JUGE Stem Count,Flowers,JUGE_H1,JUGE_H2,JUGE_H3,JUGE_H4,JUGE_H5,AVG_JUGE_H,JUGE_D1,JUGE_D2,JUGE_D3,JUGE_D4,JUGE_D5,AVG_JUGE_D,PHAU Stem Count,Flowers,PHAU_H1,PHAU_H2,PHAU_H3,PHAU_H4,PHAU_H5,AVG_PHAU_H,PHAU_D1,PHAU_D2,PHAU_D3,PHAU_D4,PHAU_D5,AVG_PHAU_D,Elevation (ft),GIS Plot ID,check,Notes
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,1,0,0,0,0,2.5,18.75,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,2.5,0,2.5,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,2,0,0,0,18.75,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.25,87.5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,3,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,4,0,0,0,0,37.5,0,0,0,0,0,87.5,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.75,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,5,0,0,0,2.5,8.75,2.5,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,2.5,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,6,0,0,0,8.75,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,87.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,7,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,87.5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,9,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,87.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Restored,Pre,11/29/2017,Sunset Cove,Excavated Area,Excavated AreaPre,10,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,87.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
