Date,Marsh,SiteID,Plot,AMCA,ATPA,DISP,IVFR,JUGE,PHAU,PLOD,SADE,SPAL,SOSE,SPPA,Total Cover,Crk,Dit,Fill,GRB,Lit,MUSSEL,CRAB,SNAIL,Pan,Pool,Unveg,WRK,1,2,3,4,5,Hmean,Initial,Hit 1,Hit 2,Hit 3,SV 10 cm (kpa),SV 55 cm (kpa),SPC,HM/LM,Elevation (NAVD88)
9/16/2014,Idlewild,JB1.1,1,0,0,0,0,0,0,0,18.75,62.52,,0,81.27,0,0,0,0,8.75,0,,,0,0,37.5,0,129,71,102,NA,NA,100.67,12,13,23,26.5,22,14,SPAL,T,
9/16/2014,Idlewild,JB1.1,2,0,0,0,0,0,0,0,8.75,18.75,,0,27.5,0,0,0,0,8.75,0,,,0,0,37.5,0,91.5,109,84,NA,NA,94.83,3,7.5,11,12.5,0,0,SPAL,T,
9/16/2014,Idlewild,JB1.1,3,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,8.75,0,,,0,0,37.5,18.75,70.5,66.5,81,NA,NA,72.67,1,4,7,9,8,6,SPAL,T,
9/16/2014,Idlewild,JB1.1,4,0,0,0,0,0,0,0,0,62.5,,0,62.5,0,0,0,0,18.75,0,,,0,0,18.75,0,110.5,70,85,NA,NA,88.50,0,1,2,4,24,14,SPAL,L,
9/16/2014,Idlewild,JB1.1,5,0,0,0,0,0,0,0,0,62.5,,0,62.5,0,0,0,0,18.75,0,,,0,0,18.75,0,71.5,55,54.5,NA,NA,60.33,1.5,5.5,7.5,9.5,22,4,SPAL,L,
9/16/2014,Idlewild,JB1.1,6,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,8.75,2.5,,,0,0,37.5,0,54.5,59,86.5,NA,NA,66.67,0.5,8,14,17.5,20,16,SPAL,L,
9/16/2014,Idlewild,JB1.1,7,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,8.75,2.5,,,0,0,62.5,0,87,62,84.5,NA,NA,77.83,2.5,7,9,10.5,10,0,SPAL,T,
9/16/2014,Idlewild,JB1.1,8,0,0,0,0,0,0,0,0,62.5,,0,62.5,0,0,0,0,18.75,0,,,0,0,8.75,8.75,67.5,89,83,NA,NA,79.83,1,4,6,8,10,10,SPAL,T,
9/16/2014,Idlewild,JB1.1,9,0,0,0,0,0,0,0,0,37.5,,0,37.5,2.5,0,0,0,37.5,2.5,,,0,0,18.75,37.5,93,77.5,64,NA,NA,78.17,2.5,7,9,11,6,8,SPAL,T,
9/16/2014,Idlewild,JB1.1,10,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,8.75,8.75,,,0,0,37.5,0,58,51,62,NA,NA,57.00,2,6,9,10.5,40,6,SPAL,T,
