Date,Waterbody,Site Name,Plot,AMCA,ATPA,DISP,IVFR,JUGE,PHAU,PLOD,SAEU,SPAL,SPPA,VegTotal,Crk,Dit,FILL,GRB,Lit,MUSSELS,Pan,Pool,Unveg,WRK,Mussel_Count,CrabBur,MEBI ,Mudflat_Snail,Oyster,Worms,Total Fauna,SPAL_H1 (cm),SPAL_H2 (cm),SPAL_H3 (cm),SPAL_H4 (cm),SPAL_H5 (cm),SPAL AvgH
8.12.2015,JB,Spring Creek,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,37.50,0.00,0.00,0.00,0.00,18.75,37.50,0.00,0.00,18.75,0.00,50,0.00,3,0.00,0,0.00,53,44,58,48,7.5,17,34.9
8.12.2015,JB,Spring Creek,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,18.75,37.50,0.00,0.00,8.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,37.50,0.00,0.00,2.50,2.50,26,3,,0,0,0,29,13,11.5,12,7,12,11.1
8.12.2015,JB,Spring Creek,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,8.75,2.50,2.50,0.00,0.00,37.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,37.50,0.00,0.00,0.00,0.00,37.50,2.50,0.00,0.00,37.50,0.00,5,2,1,0,0,0,8,5,7,5,8,20.5,9.1
8.12.2015,JB,Spring Creek,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,37.50,8.75,0.00,0.00,37.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,62.50,0.00,23,19,,0,0,0,42,49,56,28,12,25,34
8.12.2015,JB,Spring Creek,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,18.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,8.75,0.00,0,,6,0,0,0,6,7,16,10,5.5,8,9.3
8.12.2015,JB,Spring Creek,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,8.75,37.50,0.00,0.00,62.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,2.50,0.00,0.00,18.75,0.00,0.00,2,4,0,0,0,6,19,33,28,32,22,26.8
8.12.2015,JB,Spring Creek,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,37.50,2.50,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,37.50,2.50,0.00,0.00,8.75,0.00,32,5,2,0,0,0,39,25,20,30,21,14,22
8.12.2015,JB,Spring Creek,14,0.00,0.00,8.75,0.00,0.00,0.00,0.00,0.00,62.50,8.75,80.00,0.00,0.00,0.00,0.00,8.75,0.50,0.00,0.00,8.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,37.50,0.00,0.00,0.00,0.00,8.75,2.50,0.00,0.00,62.50,0.00,39,11,,0,0,0,50,23.5,54,39,34,19,33.9
8.12.2015,JB,Spring Creek,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,50,0,0,0,50,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,18,0.00,0.00,62.50,0.00,0.00,0.00,0.00,0.00,18.75,0.00,81.25,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,8.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,18.75,0.00,5,0,8,0,0,0,13,14,15,8.5,13,11,12.3
8.12.2015,JB,Spring Creek,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,18.75,0.00,0.00,8.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,37.50,0.00,40.00,0.00,0.00,0.00,0.00,8.75,18.75,0.00,0.00,62.50,0.00,36,8,1,0,0,0,45,42,21,6,8,10,17.4
8.12.2015,JB,Spring Creek,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,50,0,0,0,50,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,37.50,0.00,0.00,0.00,0.00,8.75,18.75,0.00,0.00,62.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,2.50,0.00,0.00,8.75,0.00,15,0,4,0,0,0,19,8,8,19,11,18.5,12.9
8.12.2015,JB,Spring Creek,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,87.50,0.00,90.00,0.00,0.00,0.00,0.00,18.75,0.50,0.00,0.00,18.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,27,0.00,0.00,37.50,0.00,0.00,2.50,0.00,2.50,8.75,37.50,88.75,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,8.75,0.00,0.00,9,2,0,0,0,11,6,8,8,7,6,7
8.12.2015,JB,Spring Creek,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,87.50,0.00,90.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,8.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.12.2015,JB,Spring Creek,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,18.75,37.50,58.75,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,8.75,0.00,3,0,2,0,0,0,5,21,11,9,13,9,12.6
8.12.2015,JB,Spring Creek,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,62.50,0.00,0.00,37.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,62.50,0.00,5,6,,0,0,0,11,33,32,25,29,28,29.4
